method	data_type	threshold	dot_product	spearman	jaccard
dctargets	target	-	0.0	-1.0	0.0
dctargets	pfam	-	0.0	-1.0	0.0
dctargets	function	-	0.0	-0.596962635604	0.0
dcguild	node	1	0.406347639061	-0.774106747805	0.00363636363636
dcguild	edge	1	0.697192304175	-0.120664814102	0.0
dcguild	function	1	0.0906470752441	-0.656593705143	0.0931899641577
dcguild	node	5	0.681882813594	-0.584190456452	0.151211361738
dcguild	edge	5	0.929546753615	0.10217227367	0.143197380173
dcguild	function	5	0.466458254494	-0.235082768654	0.413022903653
dcguild	node	10	0.777951691491	-0.33831702111	0.28664799253
dcguild	edge	10	0.96422381704	0.24131266072	0.284573822244
dcguild	function	10	0.644583505326	0.0599781618313	0.552767639903
dcguild	node	20	0.847053987686	-0.00835106180831	0.492145178765
dcguild	edge	20	0.977966524438	0.437453004095	0.566299013653
dcguild	function	20	0.782925052053	0.343307411985	0.679747998425
dcguild	node	50	0.909509341088	0.489148722668	0.778739343839
dcguild	edge	50	0.985040846179	0.677139396758	0.907776368426
dcguild	function	50	0.900316762721	0.60800464041	0.81077613855
dcstructure	structure	-	0.439853072166	0.439853072166	0.439853072166
dcatc	atc	-	-	-	-
dcse	se	-	-	-	-
